"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"121263680","47.64833","-2.78851","2022-07-21","20.47"
"121284992","47.64849","-2.7884","2022-07-22","20.51"
"121344607","47.64852","-2.78811","2022-07-24","22.47"
"121420215","47.6484","-2.78808","2022-07-27","22.82"
"121488643","47.64854","-2.78851","2022-07-29","20.24"
"121505018","47.64836","-2.78843","2022-07-30","20.49"
"121731491","47.6326","-2.7712","2022-08-07","9.49"
"122178817","44.81772","-0.52295","2022-08-23","5.8"
"122237408","48.71007","7.75672","2022-08-25","138.77"
"135622205","41.65055","9.32682","2023-08-15","27.73"
"135622220","41.64831","9.32935","2023-08-15","24.72"
"135622228","41.6499","9.32671","2023-08-16","26.9"
"135622230","41.64846","9.32869","2023-08-16","25.83"
"135871808","48.91045","6.05402","2023-08-23","179.46"
"135893741","41.65036","9.32682","2023-08-25","27.51"
"136060088","41.65055","9.32682","2023-08-15","27.73"
"136060092","41.64831","9.32935","2023-08-15","24.72"
"136060095","41.6499","9.32671","2023-08-16","26.9"
"136060096","41.64846","9.32869","2023-08-16","25.83"
"136060200","41.65036","9.32682","2023-08-25","27.51"
"148761049","41.64972","9.327","2024-08-13","26.04"
"148761054","41.65021","9.32826","2024-08-13","28.18"
"148761075","41.65052","9.3261","2024-08-13","29.09"
"148761076","41.65026","9.32678","2024-08-13","27.39"
"148822579","47.0105","3.16593","2024-08-16","193.56"
"148861291","41.65054","9.3268","2024-08-17","27.7"
"148861292","41.65045","9.32669","2024-08-17","27.57"
"148861293","41.65094","9.32593","2024-08-17","29.78"
"148861297","41.65014","9.32859","2024-08-17","27.87"
"148863942","41.65055","9.32679","2024-08-17","27.75"
"148863943","41.65044","9.32666","2024-08-17","27.59"
"148863944","41.65093","9.32593","2024-08-17","29.78"
"148863972","41.65009","9.32857","2024-08-17","27.84"
"148889366","41.64879","9.32728","2024-08-18","23.1"
"148928575","47.0086","3.16716","2024-08-16","193.52"
"148928585","47.0086","3.16716","2024-08-16","193.52"
"149038448","41.65055","9.3268","2024-08-23","27.73"
"149038459","41.6505","9.32696","2024-08-23","28.08"
"149255590","41.64972","9.327","2024-08-13","26.04"
"149255592","41.65021","9.32826","2024-08-13","28.18"
"149255596","41.65052","9.3261","2024-08-13","29.09"
"149255597","41.65026","9.32678","2024-08-13","27.39"
"149255637","41.64879","9.32728","2024-08-18","23.1"
"149255647","41.65055","9.3268","2024-08-23","27.73"
"149255650","41.6505","9.32696","2024-08-23","28.08"
