ID,LATITUDE,LONGITUDE,DATE,ALTITUDE
11205601,44.3769,1.49876,1923-07-01,
114527681,44.87091,5.7551,1984-06-24,
11472996,44.3769,1.49876,1984-07-20,
11474549,44.3769,1.49876,1984-08-16,
11474784,44.4526,1.46269,1984-08-19,
11570906,44.3769,1.49876,1986-07-27,
11626853,44.3769,1.49876,1987-07-23,
121944923,43.03257,6.1647,1989-07-31,
11901711,44.94684,1.61286,1991-07-27,
152984586,45.07353,1.50854,1993-08-10,
12337373,44.94684,1.61286,1995-08-03,
12488919,44.3769,1.49876,1996-07-05,
118583015,44.13889,5.64111,1998-07-29,
138450538,42.45766,2.79177,1999-07-12,
138450612,42.57741,2.93601,1999-07-13,
138450949,42.45766,2.79177,1999-07-23,
139509560,43.92651,5.69337,1999-08-08,
140070372,44.74411,5.35028,2000-06-25,
138447305,44.27577,3.63519,2000-07-16,
138447953,44.24093,3.24093,2000-07-24,
13555173,44.3769,1.49876,2001-06-23,
13567605,45.73745,3.19474,2001-07-09,
13576095,45.91014,3.12806,2001-07-22,
13576096,46.30891,3.24704,2001-07-22,
14255575,44.06057,4.39621,2003-06-10,
108253463,48.83684,2.37911,2003-07-14,
14312287,46.17891,2.48593,2003-07-26,
14791153,44.28816,3.98642,2004-08-15,
14796217,44.28816,3.98642,2004-08-20,
14817577,43.94853,4.30723,2004-09-08,
14817578,43.94141,4.37769,2004-09-08,
14820960,43.87728,4.20923,2004-09-11,
14822486,43.84353,4.23195,2004-09-12,
14829793,43.69666,4.30766,2004-09-19,
64685601,45.75553,5.36261,2005-07-07,
137809270,43.68778,7.20743,2006-06-27,
153211776,45.37952,4.87412,2006-08-10,
85680109,44.55878,1.32001,2007-07-25,
111179143,43.94301,3.71344,2008-06-21,
81251708,43.67591,3.56559,2008-07-17,
16936960,45.43067,0.17698,2008-08-08,
85676272,44.55878,1.32001,2009-06-20,
18125072,44.12872,5.08083,2009-07-22,
146814696,43.00509,2.70265,2010-07-14,
153287388,44.96436,5.69216,2010-07-20,
60688098,42.10371,9.51005,2010-08-10,
20424550,45.89545,0.78772,2010-08-22,
23359964,44.3785,1.61854,2011-06-15,
23359966,44.38149,1.61906,2011-06-15,
23430340,44.37151,1.60633,2011-06-21,
23430341,44.38627,1.62344,2011-06-21,
23430343,44.37068,1.60523,2011-06-21,
23449127,44.56124,1.55819,2011-06-23,
23527747,44.36307,1.68382,2011-06-30,
23527749,44.36526,1.69504,2011-06-30,
23539043,45.80828,-1.23001,2011-07-01,
23548825,44.38884,1.26154,2011-07-02,
23548826,44.38645,1.26727,2011-07-02,
23672566,45.76819,-1.21512,2011-07-15,
23672567,45.76834,-1.21911,2011-07-15,
23672568,45.76867,-1.22391,2011-07-15,
23672569,45.76884,-1.22635,2011-07-15,
23672570,45.76942,-1.23567,2011-07-15,
23672575,45.76797,-1.21286,2011-07-15,
23672576,45.7779,-1.22779,2011-07-15,
23672577,45.77283,-1.24043,2011-07-15,
23672578,45.77103,-1.23851,2011-07-15,
23797951,44.35342,1.69128,2011-08-01,
64685621,45.75261,5.33195,2012-06-26,
28372244,44.5703,1.51033,2012-07-06,
28431834,44.56794,1.50413,2012-07-11,
28431835,44.5675,1.50315,2012-07-11,
28431836,44.56551,1.50223,2012-07-11,
28460111,44.45397,1.11272,2012-07-14,
28526896,44.48796,1.64871,2012-07-20,
28526899,44.48168,1.65815,2012-07-20,
28527831,45.78859,-1.21502,2012-07-20,
89515095,43.95124,5.8096,2012-07-22,
89515114,43.95124,5.8096,2012-07-23,
89515620,44.03004,5.97392,2012-07-24,
70527727,45.83143,1.25287,2012-07-27,
89516431,43.83041,5.83906,2012-07-27,
89516075,43.84768,6.22118,2012-07-28,
28617980,44.00234,2.6435,2012-07-29,
89515317,43.96888,5.8891,2012-07-30,
89515569,44.187,6.04379,2012-07-30,
28680596,43.68488,7.20977,2012-08-05,
143064887,44.42391,3.769,2012-08-14,
143064893,44.32867,3.59407,2012-08-14,
143064839,44.43643,3.19908,2012-08-20,
135003421,43.51989,7.0468,2012-08-30,
33645120,43.7803,5.08939,2013-07-08,
33672075,43.71616,5.36023,2013-07-10,
33727492,43.24418,2.73072,2013-07-15,
33772881,44.65941,1.52023,2013-07-19,
33783280,44.47127,1.43063,2013-07-20,
33783284,44.45397,1.11272,2013-07-20,
33794866,44.77405,1.31431,2013-07-21,
33794867,44.78407,1.32809,2013-07-21,
33794868,44.78012,1.32697,2013-07-21,
33794870,44.7827,1.33013,2013-07-21,
33794872,44.77976,1.32228,2013-07-21,
33794873,44.77262,1.32656,2013-07-21,
33794878,44.74345,1.46521,2013-07-21,
33816191,43.98025,3.25939,2013-07-23,
33836217,44.72497,1.40196,2013-07-25,
33836219,44.78917,1.47204,2013-07-25,
33836222,44.86781,1.4781,2013-07-25,
33836225,44.72272,1.40237,2013-07-25,
33836229,44.72669,1.4913,2013-07-25,
33846843,44.78063,1.33956,2013-07-26,
33846845,44.78104,1.33671,2013-07-26,
110224488,43.94312,5.70568,2013-07-26,
33867198,44.63977,1.65423,2013-07-28,
33883999,44.6905,1.33256,2013-07-30,
33884003,44.62327,1.42091,2013-07-30,
33884007,44.67871,1.35878,2013-07-30,
33884008,44.683,1.36116,2013-07-30,
143386049,43.8115,3.14402,2013-08-01,
33913138,45.88615,3.00631,2013-08-02,
143386051,43.8115,3.14402,2013-08-02,
143386055,43.81957,3.26019,2013-08-02,
143386062,43.83109,3.30998,2013-08-02,
143386063,43.83171,3.31083,2013-08-02,
143386064,43.89941,3.17986,2013-08-02,
33919640,46.01362,6.17025,2013-08-03,
33923047,44.8945,4.16638,2013-08-03,
61516577,45.83168,1.76511,2013-08-04,
33946411,46.15443,5.9001,2013-08-05,
33947588,43.61995,1.94892,2013-08-05,
61516996,45.83168,1.76511,2013-08-05,
143386069,43.76319,2.95292,2013-08-05,
143386071,43.75802,2.89953,2013-08-05,
143386076,43.80904,3.02416,2013-08-05,
143386077,43.73715,2.85782,2013-08-05,
33955339,46.15443,5.9001,2013-08-06,
143386078,43.81078,3.14312,2013-08-07,
33972006,46.18879,5.33711,2013-08-08,
33981703,46.15443,5.9001,2013-08-09,
