Latitude,Longitude,ID,Date
43.7808,5.09367,33775337,2013-07-19
42.6462,2.85444,45739087,2015-07-11
43.29662,5.57609,52510344,2016-06-20
43.28501,5.5907,52554487,2016-06-22
44.1467,5.03343,52618368,2016-06-25
43.97646,4.89956,59683302,2017-06-10
43.97401,4.89825,59683303,2017-06-10
43.84935,6.00566,59684016,2017-06-10
44.054,5.041,59731902,2017-06-12
43.83164,5.99389,59754536,2017-06-13
43.84621,6.00542,59755138,2017-06-13
43.84098,6.00918,59755141,2017-06-13
43.84986,6.00948,59755178,2017-06-13
43.97752,4.88721,59755308,2017-06-13
43.96598,4.89722,59755309,2017-06-13
43.99619,4.76394,59769625,2017-06-14
43.84691,6.00464,59777728,2017-06-14
43.84854,6.00804,59797700,2017-06-15
43.97132,4.90619,59798803,2017-06-15
43.96863,4.92003,59798804,2017-06-15
43.96863,4.92003,59798805,2017-06-15
43.85023,6.00652,59799113,2017-06-15
43.84931,6.006,59799115,2017-06-15
43.29979,2.6786,59834425,2017-06-17
43.84587,6.0043,59841733,2017-06-17
43.84234,5.99658,59841734,2017-06-17
43.83768,5.98214,59841735,2017-06-17
43.75315,6.13881,59864693,2017-06-18
43.84435,6.01154,59865483,2017-06-18
43.8488,6.00535,59865497,2017-06-18
43.84992,6.0065,59865499,2017-06-18
43.29707,5.57549,59883575,2017-06-19
43.97408,4.89814,59883608,2017-06-19
43.36767,5.63028,59918151,2017-06-21
43.84279,5.99652,59918290,2017-06-21
43.94187,4.79855,59918646,2017-06-21
43.84767,6.00497,59918831,2017-06-21
43.83154,6.02892,59933432,2017-06-22
43.84988,6.00664,59933438,2017-06-22
43.73925,5.79305,59934113,2017-06-22
43.82427,6.0159,59934116,2017-06-22
43.29532,5.57233,59934799,2017-06-22
43.52173,5.04753,63221692,2017-06-22
43.53118,5.04624,63222445,2017-06-22
43.29783,5.60134,59950042,2017-06-23
43.84737,6.00525,59950169,2017-06-23
43.49652,5.12169,63257444,2017-06-23
43.66452,3.43259,59960433,2017-06-24
43.43507,3.42601,59960616,2017-06-24
43.97366,4.89862,59988175,2017-06-25
43.3688,5.6325,59988314,2017-06-25
43.5262,5.05178,59988461,2017-06-25
43.52689,5.05976,59988481,2017-06-25
43.98456,4.88803,60004933,2017-06-26
43.52733,5.05131,63287233,2017-06-26
43.50975,3.78788,60001617,2017-06-27
43.84278,5.99659,60035986,2017-06-27
43.84228,5.98223,60035994,2017-06-27
43.90727,4.53083,60029640,2017-06-28
43.82503,6.01584,60035976,2017-06-28
43.85628,6.02364,60036002,2017-06-28
43.51068,3.78713,60059997,2017-06-30
43.84221,5.9977,60074732,2017-06-30
43.85171,5.99369,60076392,2017-06-30
43.85591,5.99914,60076398,2017-06-30
43.856,6.0025,60076400,2017-06-30
43.52733,5.05131,63362312,2017-06-30
43.83977,6.00759,60076428,2017-07-01
43.86268,6.01471,60087368,2017-07-01
43.90727,4.53083,60090026,2017-07-01
43.47538,4.9539,60097419,2017-07-01
43.3229,5.59481,60097888,2017-07-01
43.47628,4.97836,60101660,2017-07-01
43.69734,4.26562,60104543,2017-07-02
43.6974,4.26519,60104550,2017-07-02
43.77997,3.72379,60125572,2017-07-02
43.74755,3.70805,60125618,2017-07-02
43.71781,3.62277,60125630,2017-07-02
43.84445,6.01148,60152197,2017-07-03
43.8346,5.99517,60152221,2017-07-04
43.61143,3.87751,60156641,2017-07-04
43.85354,6.00514,60158726,2017-07-05
43.85706,6.01142,60168166,2017-07-05
43.86802,4.5048,60177583,2017-07-05
43.86624,4.50521,60177591,2017-07-05
43.86844,4.50465,60177595,2017-07-05
43.87814,4.50612,60177611,2017-07-05
43.87026,4.50016,60177634,2017-07-05
43.87037,4.49995,60177635,2017-07-05
43.87217,4.49463,60177648,2017-07-05
43.87121,4.50457,60177666,2017-07-05
43.87123,4.50538,60221543,2017-07-05
43.85798,4.51141,60201381,2017-07-06
43.85721,4.51041,60201383,2017-07-06
43.86118,4.51817,60201390,2017-07-06
43.86183,4.51882,60201391,2017-07-06
43.87847,4.58988,60201409,2017-07-06
43.86831,4.51243,60201428,2017-07-06
43.86508,4.51466,60201459,2017-07-06
43.8818,4.56204,60201481,2017-07-06
43.86464,4.50966,60201489,2017-07-06
43.86449,4.50774,60201512,2017-07-06
