Latitude,Longitude,ID,Date
47.95936,7.24111,20136078,2010-06-27
47.95936,7.24111,20176201,2010-07-03
48.04454,7.29737,20207994,2010-07-08
48.14108,7.30605,22871065,2011-05-13
48.5827,7.49574,22904027,2011-05-15
48.60237,7.41819,22948624,2011-05-18
47.95932,7.24116,22998880,2011-05-21
47.96837,7.25391,23124823,2011-05-29
47.63218,7.24971,23381557,2011-06-17
47.95932,7.24116,23561593,2011-07-03
47.96301,7.24767,23618030,2011-07-09
47.95638,7.2644,23618031,2011-07-09
47.96027,7.24381,23618032,2011-07-09
46.77544,2.26756,28053631,2012-06-14
47.95994,7.24155,28119479,2012-06-17
44.66854,1.78618,28177421,2012-06-21
47.98608,7.21009,28206905,2012-06-23
48.10288,7.29233,28223467,2012-06-24
44.45397,1.11272,28460110,2012-07-14
44.48917,1.65982,28526897,2012-07-20
44.48337,1.62741,28526900,2012-07-20
46.85068,-0.13495,134340410,2013-06-27
48.09185,7.29091,33654467,2013-07-09
44.64554,1.53642,33806141,2013-07-22
48.09947,7.29414,33815677,2013-07-23
48.21192,7.35925,38417601,2014-05-24
48.09269,7.28707,38615504,2014-06-01
48.09587,7.29188,38615505,2014-06-01
48.09329,7.28565,38615506,2014-06-01
48.09751,7.29847,38615507,2014-06-01
48.09241,7.29762,38615508,2014-06-01
48.09119,7.29174,38615509,2014-06-01
48.09269,7.28707,38735279,2014-06-07
48.10149,7.2942,38760311,2014-06-08
48.10068,7.29395,38760312,2014-06-08
48.10015,7.29231,38760313,2014-06-08
48.10072,7.29109,38760314,2014-06-08
48.10146,7.29021,38760315,2014-06-08
48.10242,7.29048,38760316,2014-06-08
48.10343,7.29075,38760317,2014-06-08
48.10224,7.2893,38760318,2014-06-08
48.10199,7.28742,38760319,2014-06-08
48.09271,7.28294,38760320,2014-06-08
48.09213,7.28499,38760321,2014-06-08
48.14473,7.30163,38783033,2014-06-09
48.14155,7.30368,38783034,2014-06-09
48.14064,7.31054,38783035,2014-06-09
48.14179,7.30755,38783036,2014-06-09
48.14306,7.30545,38783037,2014-06-09
48.14454,7.3034,38783038,2014-06-09
48.14597,7.30139,38783039,2014-06-09
48.1467,7.29913,38783040,2014-06-09
48.14713,7.29644,38783041,2014-06-09
48.14768,7.29324,38783042,2014-06-09
48.14822,7.29011,38783043,2014-06-09
48.00379,7.21646,38799612,2014-06-10
48.06456,7.29094,38925988,2014-06-17
48.06149,7.28323,38925989,2014-06-17
47.9491,7.2746,39033183,2014-06-23
47.95324,7.27174,39033184,2014-06-23
47.95265,7.27453,39033185,2014-06-23
47.94967,7.27663,39033186,2014-06-23
47.94549,7.28019,39033187,2014-06-23
47.95521,7.26441,39078551,2014-06-26
45.67855,3.22422,39213615,2014-07-06
47.95704,7.24978,39343303,2014-07-16
44.69211,1.68325,44803320,2015-05-24
44.64909,1.52739,45020301,2015-06-01
47.9582,7.24839,45063786,2015-06-03
47.96051,7.24304,45063787,2015-06-03
45.7202,3.13213,45083578,2015-06-04
47.96766,7.27175,45087592,2015-06-04
44.64511,1.53696,45134347,2015-06-06
45.75492,3.17934,45179600,2015-06-08
45.75318,3.17647,45179601,2015-06-08
45.74881,3.17943,45179602,2015-06-08
45.74237,3.18638,45179603,2015-06-08
45.67962,3.15765,45232676,2015-06-11
45.71992,3.11962,45232685,2015-06-11
47.1131,-0.11804,45251293,2015-06-12
47.12642,-0.11606,45251294,2015-06-12
47.11874,-0.11086,45251295,2015-06-12
44.37464,1.33098,45350109,2015-06-17
45.68806,3.18298,45365906,2015-06-18
45.12782,1.50691,45375747,2015-06-18
43.03945,1.74135,111025971,2015-06-19
46.02722,-0.6607,45433137,2015-06-21
46.02699,-0.66033,45433139,2015-06-21
46.02702,-0.65969,45433145,2015-06-21
46.02748,-0.66113,45433158,2015-06-21
46.02602,-0.65816,45433166,2015-06-21
46.00889,-0.65446,45433194,2015-06-21
46.00758,-0.65684,45433222,2015-06-21
46.00698,-0.65558,45433226,2015-06-21
46.00762,-0.65628,45433229,2015-06-21
46.00827,-0.65663,45433234,2015-06-21
46.00903,-0.6559,45433241,2015-06-21
43.03615,1.74412,111026047,2015-06-22
45.76104,3.16597,45480491,2015-06-24
42.7963,1.59928,111026085,2015-06-25
42.79567,1.60164,111026088,2015-06-25
42.79692,1.59951,111026125,2015-06-25
45.98108,0.17576,45511259,2015-06-26
44.64509,1.53699,45627015,2015-07-03
47.20334,-0.02002,45750180,2015-07-12
47.20327,-0.01936,45835087,2015-07-18
48.99774,7.79741,52164661,2016-06-05
47.96355,7.26928,52224502,2016-06-07
47.53865,-0.06909,52273783,2016-06-09
45.65449,3.17101,52327302,2016-06-11
46.68802,2.51578,52381515,2016-06-14
48.09589,7.29283,52443814,2016-06-17
48.09128,7.29542,52443815,2016-06-17
47.63218,7.24971,52443942,2016-06-17
46.9516,2.28263,52453289,2016-06-18
47.63386,7.24172,68964049,2016-06-18
44.2348,3.03885,52547911,2016-06-22
47.54636,-0.06716,52563853,2016-06-23
47.54905,-0.06907,52563854,2016-06-23
47.54763,-0.07386,52563855,2016-06-23
45.47721,-0.78097,52571996,2016-06-23
48.09133,7.29704,52591455,2016-06-24
48.13281,7.31835,52591456,2016-06-24
48.13545,7.32053,52591457,2016-06-24
48.13853,7.3246,52591458,2016-06-24
48.15376,7.32068,52591459,2016-06-24
44.23259,3.03867,52592346,2016-06-24
44.91479,6.66342,52617743,2016-06-25
44.91223,6.66359,52617744,2016-06-25
45.0835,1.48353,52618708,2016-06-25
45.67806,3.16943,52629957,2016-06-26
45.77263,3.13639,52629981,2016-06-26
45.72534,3.23342,52629982,2016-06-26
45.07807,1.44774,52642202,2016-06-26
45.64076,0.43697,52663322,2016-06-28
46.96248,2.12998,52682739,2016-06-29
46.92434,2.12976,52682754,2016-06-29
46.68802,2.51578,52682858,2016-06-29
46.68439,2.5218,52682859,2016-06-29
45.67808,0.25172,52683130,2016-06-29
48.08937,7.28034,52692983,2016-06-29
44.6318,1.6608,52693863,2016-06-29
44.62086,1.64099,52693864,2016-06-29
45.76142,3.21161,52707872,2016-06-30
48.58355,7.49229,52804672,2016-07-05
46.16074,0.13518,52815513,2016-07-06
45.75695,3.16917,52820534,2016-07-06
44.68343,1.6536,52824256,2016-07-06
44.68407,1.65466,52824257,2016-07-06
44.62245,6.17814,52867332,2016-07-08
43.11204,1.56322,111057020,2016-07-08
44.58742,6.19545,52884946,2016-07-09
44.58526,6.19221,52884947,2016-07-09
44.58446,6.19197,52885371,2016-07-09
44.45259,5.6952,52959101,2016-07-14
46.9525,2.2829,52997620,2016-07-17
48.09122,7.29557,53071507,2016-07-21
47.18821,2.41675,53079230,2016-07-22
46.07426,-0.93864,53166899,2016-07-27
47.94087,7.26406,59355806,2017-05-28
46.31471,-0.39334,59419475,2017-05-31
43.1876,2.19986,59428578,2017-05-31
43.18743,2.19937,59477600,2017-06-02
45.72371,3.2317,59620382,2017-06-08
45.72652,3.23136,59645222,2017-06-09
44.78265,5.92509,59706588,2017-06-11
45.07341,1.50759,59756207,2017-06-13
45.12747,1.5063,59756231,2017-06-13
44.64017,1.8583,59813771,2017-06-16
45.54729,3.21388,59875015,2017-06-19
45.54621,3.21198,59875016,2017-06-19
45.54889,3.21949,59875017,2017-06-19
45.7256,3.22359,59893379,2017-06-20
45.72757,3.23026,59893380,2017-06-20
46.953,2.28008,59905163,2017-06-21
46.9516,2.28263,59905164,2017-06-21
45.75695,3.16917,59925680,2017-06-22
45.72371,3.2317,59925686,2017-06-22
47.63218,7.24971,59945114,2017-06-23
43.18773,2.19992,59981312,2017-06-25
44.8017,5.7076,59984493,2017-06-25
44.79594,5.71208,59984595,2017-06-25
43.91931,3.50466,60021916,2017-06-27
44.43794,5.69246,60323056,2017-07-13
44.45257,5.69351,60340324,2017-07-13
44.43784,5.69377,60549336,2017-07-13
44.45179,5.69435,60549337,2017-07-13
45.48266,-0.7976,68673698,2018-05-18
47.94519,7.26727,68760412,2018-05-21
45.27772,5.83231,68964925,2018-05-25
48.52318,7.41981,69007641,2018-05-26
48.55759,7.46935,69007781,2018-05-26
48.55649,7.47349,69007803,2018-05-26
48.55756,7.46946,69012146,2018-05-26
48.55605,7.47407,69012360,2018-05-26
48.55593,7.46626,69048595,2018-05-26
48.55656,7.47686,69048599,2018-05-26
48.52318,7.41981,69048602,2018-05-26
48.55719,7.46959,69091441,2018-05-26
48.52304,7.41936,69091459,2018-05-26
45.99489,-0.67709,68993406,2018-05-27
45.99487,-0.67729,69002885,2018-05-27
43.18755,2.19985,69117516,2018-05-31
43.17678,2.17624,69162643,2018-06-01
44.97022,5.62319,69251737,2018-06-01
44.64,1.52811,69181424,2018-06-02
45.86933,5.80304,69291236,2018-06-05
45.71054,3.08188,69340639,2018-06-07
44.97628,5.62433,69354257,2018-06-07
44.98202,5.62831,69354602,2018-06-07
44.98411,5.63307,69354609,2018-06-07
45.49494,-0.7984,69359514,2018-06-07
45.49403,-0.79796,69359526,2018-06-07
45.50167,-0.81256,69359552,2018-06-07
45.50645,-0.82241,69359571,2018-06-07
45.50911,-0.81798,69359572,2018-06-07
45.5113,-0.82374,69359598,2018-06-07
45.51165,-0.82666,69359607,2018-06-07
45.48606,-0.80365,69359617,2018-06-07
45.51221,-0.82233,69359657,2018-06-07
45.53316,-0.83476,69359694,2018-06-07
43.18755,2.19985,69364885,2018-06-08
47.96091,7.26154,69384204,2018-06-08
44.93008,5.65985,69384659,2018-06-08
44.92966,5.67129,69384682,2018-06-08
45.64526,-1.01689,69385633,2018-06-08
45.60545,-0.96341,69385638,2018-06-08
44.93647,5.66837,69386312,2018-06-08
47.95528,7.25125,69397162,2018-06-09
47.96596,7.24838,69398951,2018-06-09
44.95166,5.63857,69402147,2018-06-09
43.54001,-0.17422,69444175,2018-06-09
45.3795,3.22085,69718153,2018-06-09
45.37624,3.2209,69718242,2018-06-09
44.88307,5.77956,69430837,2018-06-10
47.63218,7.24971,69552070,2018-06-14
45.69077,3.18754,69559521,2018-06-14
44.39114,4.50241,69673315,2018-06-19
44.80081,5.70731,69687382,2018-06-19
45.39811,-0.6842,69688967,2018-06-19
45.39803,-0.68606,69688988,2018-06-19
45.40372,-0.67506,69689028,2018-06-19
45.44625,-0.75216,69689032,2018-06-19
45.44792,-0.75374,69689070,2018-06-19
45.45867,-0.74708,69700159,2018-06-19
45.22727,5.75851,69713319,2018-06-20
45.45855,-0.75283,69721220,2018-06-20
45.45992,-0.76024,69721232,2018-06-20
45.47788,-0.75785,69721274,2018-06-20
45.46506,-0.76667,69721278,2018-06-20
45.47991,-0.7724,69721280,2018-06-20
45.47699,-0.77371,69721335,2018-06-20
45.4931,-0.79695,69721395,2018-06-20
45.49458,-0.79824,69721398,2018-06-20
44.74916,5.3666,69721992,2018-06-20
44.17123,3.3723,69742633,2018-06-21
44.16278,3.37638,69742650,2018-06-21
44.16999,3.37446,69742651,2018-06-21
45.50852,-0.81857,69753666,2018-06-21
45.50712,-0.82153,69753724,2018-06-21
45.51131,-0.82533,69753783,2018-06-21
45.57246,-0.87534,69769443,2018-06-22
44.9378,5.6671,69881521,2018-06-22
44.79774,5.7154,69881602,2018-06-22
45.6352,3.12816,69786844,2018-06-23
44.78266,5.92506,69880664,2018-06-23
44.78216,5.92871,69880778,2018-06-23
44.78107,5.97317,69880971,2018-06-23
44.64043,5.43036,69834165,2018-06-24
45.65824,0.28863,69854883,2018-06-24
43.03661,1.71565,69837657,2018-06-25
45.11319,1.50933,69888101,2018-06-26
45.10655,1.50012,69888249,2018-06-26
45.09909,1.5045,69888251,2018-06-26
45.11293,1.50191,69888287,2018-06-26
45.07781,1.51397,69888314,2018-06-26
45.10972,1.5114,69888342,2018-06-26
45.07339,1.5077,69888348,2018-06-26
45.02245,1.45123,69888432,2018-06-26
45.57684,-0.51495,70378522,2018-06-26
45.57653,-0.51502,70378523,2018-06-26
45.57311,-0.51116,70378532,2018-06-26
45.56433,-0.50631,70378535,2018-06-26
45.54939,-0.48838,70378541,2018-06-26
45.54838,-0.48581,70378542,2018-06-26
45.52812,-0.46174,70378556,2018-06-26
45.28982,5.74342,69892730,2018-06-27
45.23905,0.0976,69954200,2018-06-27
45.23905,0.0976,70420757,2018-06-27
45.59708,0.11004,69977428,2018-06-30
44.7255,1.0647,69988450,2018-06-30
44.738,1.02948,69988695,2018-06-30
44.04244,5.81798,70346059,2018-06-30
45.59708,0.11004,70420052,2018-06-30
45.53473,2.84952,70048446,2018-07-01
45.23708,1.34219,70048506,2018-07-03
45.24063,1.33472,70048577,2018-07-03
45.26519,1.30094,70048612,2018-07-03
45.26213,1.30002,70048700,2018-07-03
45.24351,1.33512,70048721,2018-07-03
45.26347,1.28594,70048782,2018-07-03
45.26633,1.29507,70049812,2018-07-03
45.24544,1.27866,70049825,2018-07-03
45.54168,-0.22735,70136000,2018-07-05
44.86368,5.78988,70114706,2018-07-06
44.86343,5.7974,70114711,2018-07-06
42.82792,2.13486,70169210,2018-07-08
42.83125,2.11407,70169213,2018-07-08
42.83043,2.07778,70169235,2018-07-08
45.11283,1.5082,70169249,2018-07-08
45.07317,1.50954,70169337,2018-07-08
45.16551,5.78218,70187803,2018-07-09
46.17204,-0.72021,70328883,2018-07-10
45.43008,-0.36457,70378656,2018-07-10
45.43261,-0.36734,70378657,2018-07-10
45.4355,-0.37142,70378669,2018-07-10
45.4351,-0.37053,70378670,2018-07-10
45.47327,-0.40402,70378688,2018-07-10
45.47094,-0.40201,70378703,2018-07-10
44.43976,3.21811,70251956,2018-07-12
45.20977,5.72022,70321433,2018-07-12
45.23983,1.28367,70287188,2018-07-13
45.22952,1.33432,70287404,2018-07-13
45.22949,1.31146,70287591,2018-07-13
43.93161,1.07995,70285302,2018-07-14
44.8008,5.93194,70405524,2018-07-15
45.16879,5.77437,70385783,2018-07-18
44.85106,5.77633,70455435,2018-07-21
44.68794,5.58668,70617319,2018-07-29
44.72007,5.52651,70617349,2018-07-29
44.72132,5.5382,70617352,2018-07-29
