"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"160183645","44.09182","7.59613","2025-06-08","854.43"
"160183647","44.09195","7.59632","2025-06-08","857.02"
"160183649","44.09232","7.59603","2025-06-08","882.92"
"160183650","44.09234","7.59619","2025-06-08","882.73"
"160183652","44.09258","7.59641","2025-06-08","890.73"
"160183653","44.09226","7.59641","2025-06-08","877.17"
"160183657","44.09291","7.59661","2025-06-08","892.19"
"160183661","44.09313","7.59574","2025-06-08","915.59"
"160183662","44.09316","7.59582","2025-06-08","919.28"
"160183669","44.09393","7.5958","2025-06-08","944.49"
"160183680","44.09268","7.59643","2025-06-08","893.23"
"160183681","44.09388","7.59568","2025-06-08","942.01"
"160183704","44.09436","7.59496","2025-06-08","972.24"
"160183879","44.09526","7.59545","2025-06-08","1012.93"
"160183887","44.09647","7.59519","2025-06-08","1026.35"
"160183888","44.09736","7.59663","2025-06-08","1098.59"
"160183892","44.09764","7.59696","2025-06-08","1105.52"
"160183895","44.0971","7.59674","2025-06-08","1087.09"
"160183898","44.09783","7.59862","2025-06-08","1079.49"
"160183900","44.09744","7.59802","2025-06-08","1082.05"
"160183903","44.09797","7.59901","2025-06-08","1074.41"
"160183907","44.10011","7.60092","2025-06-08","1075.06"
"160183908","44.10062","7.60148","2025-06-08","1072.84"
"160183948","44.09041","7.59583","2025-06-08","806.61"
"160183949","44.09094","7.59611","2025-06-08","816.31"
"160183951","44.09144","7.59615","2025-06-08","840.63"
"160183952","44.09133","7.59624","2025-06-08","833.24"
"160183954","44.09161","7.59613","2025-06-08","846.49"
"160184021","44.09788","7.60769","2025-06-08","840.57"
"160184023","44.09759","7.6072","2025-06-08","838.86"
"160184025","44.09733","7.60687","2025-06-08","835.64"
"160184026","44.09528","7.60573","2025-06-08","825.88"
"160184028","44.09509","7.60541","2025-06-08","828.09"
"160184029","44.09379","7.60359","2025-06-08","824.41"
"160184031","44.09349","7.60341","2025-06-08","821.75"
"160184032","44.09194","7.59818","2025-06-08","816.64"
"160184033","44.09179","7.59778","2025-06-08","817.87"
"160184034","44.09163","7.59743","2025-06-08","817.48"
"160184035","44.09153","7.59721","2025-06-08","820.98"
"160184036","44.0895","7.59556","2025-06-08","811.1"
"160184075","44.10337","7.6037","2025-06-08","1069.01"
"160184077","44.10407","7.6045","2025-06-08","1061.69"
"160184078","44.10536","7.6064","2025-06-08","1043.46"
"160184079","44.10569","7.60725","2025-06-08","1034.46"
"160184080","44.10556","7.60687","2025-06-08","1039.39"
"160184084","44.1048","7.6069","2025-06-08","1014.43"
"160184086","44.10377","7.60662","2025-06-08","1003.68"
"160184104","44.10418","7.61065","2025-06-08","869.75"
"160184107","44.09878","7.60894","2025-06-08","836.57"
"160184109","44.09832","7.60872","2025-06-08","837.26"
"160220221","44.09182","7.59613","2025-06-08","854.43"
"160220222","44.09195","7.59632","2025-06-08","857.02"
"160220225","44.09234","7.59619","2025-06-08","882.73"
"160220228","44.09226","7.59641","2025-06-08","877.17"
"160220229","44.09268","7.59643","2025-06-08","893.23"
"160220230","44.09258","7.59641","2025-06-08","890.73"
"160220233","44.09232","7.59603","2025-06-08","882.92"
"160220236","44.09316","7.59582","2025-06-08","919.28"
"160220239","44.09291","7.59661","2025-06-08","892.19"
"160220242","44.09388","7.59568","2025-06-08","942.01"
"160220243","44.09393","7.5958","2025-06-08","944.49"
"160220255","44.09313","7.59574","2025-06-08","915.59"
"160220272","44.09436","7.59496","2025-06-08","972.24"
"160220353","44.09041","7.59583","2025-06-08","806.61"
"160220354","44.09094","7.59611","2025-06-08","816.31"
"160220357","44.09133","7.59624","2025-06-08","833.24"
"160220358","44.09144","7.59615","2025-06-08","840.63"
"160220360","44.09161","7.59613","2025-06-08","846.49"
"160222778","44.09526","7.59545","2025-06-08","1012.93"
"160222787","44.09647","7.59519","2025-06-08","1026.35"
"160222792","44.09764","7.59696","2025-06-08","1105.52"
"160222794","44.09736","7.59663","2025-06-08","1098.59"
"160222797","44.0971","7.59674","2025-06-08","1087.09"
"160222801","44.09744","7.59802","2025-06-08","1082.05"
"160222802","44.09783","7.59862","2025-06-08","1079.49"
"160222805","44.09797","7.59901","2025-06-08","1074.41"
"160222807","44.10011","7.60092","2025-06-08","1075.06"
"160222808","44.10062","7.60148","2025-06-08","1072.84"
"160222846","44.10337","7.6037","2025-06-08","1069.01"
"160222847","44.10407","7.6045","2025-06-08","1061.69"
"160222849","44.10536","7.6064","2025-06-08","1043.46"
"160222850","44.10556","7.60687","2025-06-08","1039.39"
"160222851","44.10569","7.60725","2025-06-08","1034.46"
"160222853","44.10377","7.60662","2025-06-08","1003.68"
"160222859","44.1048","7.6069","2025-06-08","1014.43"
"160222873","44.10418","7.61065","2025-06-08","869.75"
"160222876","44.09878","7.60894","2025-06-08","836.57"
"160222880","44.09788","7.60769","2025-06-08","840.57"
"160222882","44.09832","7.60872","2025-06-08","837.26"
"160222911","44.09759","7.6072","2025-06-08","838.86"
"160222912","44.09733","7.60687","2025-06-08","835.64"
"160222914","44.09509","7.60541","2025-06-08","828.09"
"160222915","44.09528","7.60573","2025-06-08","825.88"
"160222917","44.09379","7.60359","2025-06-08","824.41"
"160222918","44.09349","7.60341","2025-06-08","821.75"
"160222922","44.09153","7.59721","2025-06-08","820.98"
"160222923","44.0895","7.59556","2025-06-08","811.1"
"160222924","44.09179","7.59778","2025-06-08","817.87"
"160222926","44.09163","7.59743","2025-06-08","817.48"
"160222927","44.09194","7.59818","2025-06-08","816.64"
"161152313","44.09893","7.58923","2025-06-25","855.83"
"161152322","44.09341","7.60125","2025-06-25","878.52"
"161152330","44.09472","7.60369","2025-06-25","858.7"
"94388356","44.06768","7.64601","2020-08-02","841.56"
"94392603","44.09115","7.67069","2020-08-02","1358.2"
"94394933","44.09239","7.67639","2020-08-02","1426.11"
