"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"101693882","45.17053","5.78487","2020-08-19","407.11"
"101693888","45.16428","5.78295","2020-08-19","515.7"
"101923956","44.13844","1.43753","2020-06-30","187.25"
"101933063","44.32857","1.28491","2020-06-30","244.16"
"101933144","44.36918","1.22807","2020-06-30","253.28"
"102697755","42.91258","3.053","2021-04-24","34.84"
"104999616","43.2885","6.57897","2002-08-03","39.74"
"104999666","43.2885","6.57897","2002-08-06","39.74"
"105095860","43.62982","3.86816","2021-06-04","49.96"
"105165670","43.12117","6.125","2021-06-09","46.32"
"105176620","43.63406","3.86949","2021-06-09","56.9"
"105351036","43.51682","3.70136","2021-06-13","33.43"
"105405377","43.51619","3.70132","2021-06-13","33.43"
"105522988","43.93484","4.81217","2021-06-16","18.8"
"105560319","43.97225","4.81986","2021-06-17","20.61"
"105615066","44.30399","4.05845","2016-06-28","216.75"
"105622861","44.05378","5.04535","2021-06-19","98.23"
"105696251","43.24865","5.39732","2021-06-20","34.77"
"105708018","44.02482","4.1522","2021-06-21","95.04"
"105718980","43.59041","3.82104","2021-06-22","34.63"
"105725323","43.52252","5.44238","2021-06-22","183.06"
"105754597","43.55416","3.84715","2021-06-23","6.42"
"105776973","43.84286","6.00012","2021-06-23","567.57"
"105799438","43.16026","6.039","2021-06-24","79.39"
"105840144","43.35991","5.46958","2021-06-26","181.88"
"105849834","43.78673","4.35015","2021-06-26","22.7"
"105850655","43.93479","4.81217","2021-06-26","18.8"
"105863557","43.4129","0.65724","2021-06-25","267.84"
"105873209","43.98849","4.77966","2021-06-27","86.49"
"105876308","43.98767","4.73167","2021-06-27","47.05"
"105893347","43.09051","5.81743","2021-06-27","23.91"
"105896974","43.21883","5.74071","2021-06-23","205.64"
"105896982","43.21853","5.74091","2021-06-26","205.64"
"105903743","43.76762","3.72121","2021-06-26","264.93"
"105914376","44.4592","6.20725","2021-06-26","639.57"
"105921542","43.73622","6.16329","2021-06-27","491.15"
"105973840","43.84782","6.00851","2021-06-29","585.75"
"105973842","43.84763","6.00702","2021-06-29","585.75"
"105981923","43.47662","6.13205","2021-06-30","174.77"
"105996277","43.84716","6.00473","2021-06-30","573.6"
"105999535","42.90543","2.68631","2021-06-30","699.71"
"105999587","42.95237","2.75627","2021-06-30","240.58"
"105999588","42.89586","2.7066","2021-06-30","240.93"
"106006805","44.75878","4.74124","2021-07-01","142.81"
"106008662","43.12168","6.12486","2021-07-01","125.59"
"106015082","44.75585","5.33893","2021-07-01","458.22"
"106015089","44.7602","5.33049","2021-07-01","428.5"
"106015091","44.76072","5.33072","2021-07-01","428.5"
"106020069","43.84936","6.01017","2021-07-01","594.94"
"106020080","43.85197","6.01548","2021-07-01","617.74"
"106020082","43.85936","6.03509","2021-07-01","632.63"
"106020095","43.85982","6.03554","2021-07-01","632.63"
"106028164","45.72227","5.26219","2021-06-30","304.86"
"106030441","45.0637","5.70502","2021-06-30","283.11"
"106030442","45.0673","5.7113","2021-06-30","278.26"
"106030459","45.06685","5.70837","2021-06-30","279.95"
"106030461","45.06327","5.71173","2021-06-30","280.48"
"106030463","45.06003","5.711","2021-06-30","284.38"
"106030471","45.06197","5.70675","2021-06-30","285.03"
"106033989","44.70432","5.10529","2021-07-02","218.23"
"106037074","44.03188","4.67981","2021-07-02","157.76"
"106041319","44.75372","5.37508","2021-07-02","415.16"
"106048801","43.96299","4.79168","2021-07-02","42.86"
"106053345","43.78921","4.29942","2021-07-02","43.58"
"106055428","43.66098","3.38366","2021-07-02","148.5"
"106059455","43.8478","6.00731","2021-07-02","585.75"
"106063866","43.0152","2.9492","2021-07-03","49.01"
"106068606","44.81563","4.7905","2021-07-03","117.34"
"106068608","44.80449","4.62208","2021-07-03","182"
"106068626","44.83673","4.57763","2021-07-03","241.91"
"106068632","44.82013","4.61644","2021-07-03","215.26"
"106068633","44.82158","4.71986","2021-07-03","184.82"
"106068634","44.82027","4.71555","2021-07-03","169"
"106068636","44.76364","4.86002","2021-07-03","119.95"
"106068639","44.80714","4.61194","2021-07-03","178.7"
"106068641","44.82366","4.7434","2021-07-03","110.64"
"106083293","44.71493","5.05582","2021-07-03","204.3"
"106083630","43.79645","4.21698","2021-07-03","53.86"
"106084827","43.52374","0.69625","2021-07-01","251.93"
"106084856","43.52627","0.70278","2021-07-01","243.67"
"106084876","43.52453","0.69808","2021-07-01","237.02"
"106084986","43.53572","0.6913","2021-07-02","204.03"
"106084998","43.53093","0.6956","2021-07-01","251.4"
"106085001","43.53151","0.69849","2021-07-01","251.75"
"106085073","43.52733","0.69278","2021-07-01","240.23"
"106085093","43.53402","0.70054","2021-07-02","244.86"
"106085130","43.53616","0.69646","2021-07-02","229.09"
"106085174","43.53598","0.70368","2021-07-02","273.94"
"106085194","43.5294","0.6961","2021-07-02","212.96"
"106085202","43.54511","0.6953","2021-07-02","196.4"
"106085211","43.53838","0.70227","2021-07-02","256.5"
"106085217","43.53992","0.70458","2021-07-02","236.27"
"106090924","43.12096","6.12521","2021-06-25","46.32"
"106090927","43.1101","6.11767","2021-06-25","25.59"
"106091755","43.8539","4.35629","2021-07-03","99.3"
"106093607","43.86726","4.36427","2021-07-01","143.43"
"106099272","43.85389","2.80363","2021-07-03","409.48"
"106105792","44.44506","5.21087","2021-07-04","531.95"
"106107163","44.41432","4.90951","2021-07-04","202.83"
"106116829","43.43559","6.66782","2021-07-02","6.43"
"106116852","43.47918","6.62072","2021-07-02","76.14"
"106116955","43.431","6.67712","2021-07-02","5.17"
"106116959","43.4681","6.62028","2021-07-02","50.21"
"106116984","43.47962","6.61457","2021-07-02","85.96"
"106117056","44.06075","6.16657","2021-07-01","554.67"
"106130019","43.84779","6.00732","2021-07-03","585.75"
"106131475","44.27335","5.4199","2021-07-05","696.13"
"106131480","44.29979","5.32886","2021-07-05","569.76"
"106131481","44.30073","5.30731","2021-07-05","498.39"
"106131482","44.27938","5.41979","2021-07-05","628.45"
"106131486","44.29817","5.28498","2021-07-05","425.08"
"106131489","44.294","5.28019","2021-07-05","419.23"
"106131490","44.27599","5.31077","2021-07-05","533.52"
"106131496","44.25551","5.36621","2021-07-05","785.77"
"106135651","43.7192","4.95059","2021-07-05","169.78"
"106135692","43.71597","4.96093","2021-07-05","217.37"
"106152457","44.25211","5.38239","2021-07-05","820.62"
"106152459","44.29288","5.28036","2021-07-05","419.23"
"106156944","44.25407","5.66785","2021-07-06","732.35"
"106156947","44.25439","5.6679","2021-07-06","732.35"
"106156959","44.25895","5.66736","2021-07-06","747.99"
"106156971","44.25723","5.66783","2021-07-06","748.62"
"106163528","45.42558","6.02972","2021-07-06","363.54"
"106163809","45.17663","5.67745","2021-07-06","447.61"
