Latitude,Longitude,ID,Date
43.64659,5.43719,118582681,1999-06-24
44.57041,1.50901,28372243,2012-07-06
44.56794,1.50413,28431830,2012-07-11
44.56715,1.50391,28431831,2012-07-11
44.56585,1.5019,28431832,2012-07-11
44.45397,1.11272,28460109,2012-07-14
44.45397,1.11272,33783285,2013-07-20
44.62327,1.42091,33884001,2013-07-30
44.45403,1.11278,45277714,2015-06-13
45.12782,1.50691,45375745,2015-06-18
43.94075,5.13035,45393128,2015-06-19
43.03936,1.74217,111025970,2015-06-19
43.03547,1.74396,111026020,2015-06-22
43.03576,1.74396,111026021,2015-06-22
43.04047,1.7406,111026049,2015-06-22
44.38913,1.35896,45501761,2015-06-25
44.38773,1.35469,45501768,2015-06-25
44.38709,1.3548,45501774,2015-06-25
44.38577,1.35138,45501786,2015-06-25
44.38487,1.3496,45501794,2015-06-25
44.38499,1.34544,45501806,2015-06-25
44.38532,1.35056,45501814,2015-06-25
44.38409,1.34299,45501824,2015-06-25
44.38196,1.34101,45501838,2015-06-25
44.38247,1.34071,45501845,2015-06-25
44.3808,1.3347,45501850,2015-06-25
44.37871,1.33339,45501859,2015-06-25
44.37478,1.33093,45501884,2015-06-25
44.37391,1.32925,45501901,2015-06-25
44.37143,1.32739,45501911,2015-06-25
44.36954,1.32571,45501919,2015-06-25
44.36841,1.32448,45501934,2015-06-25
44.65056,1.59982,45585164,2015-06-30
43.04413,1.73714,111026434,2015-07-02
43.68876,2.0982,45641900,2015-07-04
44.45397,1.11272,45770267,2015-07-13
45.08111,1.48165,52618685,2016-06-25
43.68822,2.1,52673757,2016-06-28
43.69008,2.09624,52673789,2016-06-28
43.6917,2.10204,52673798,2016-06-28
43.69314,2.10066,52673812,2016-06-28
43.69505,2.09202,52673839,2016-06-28
43.69462,2.09736,52673846,2016-06-28
44.67056,1.998,52693816,2016-06-29
44.67148,1.99188,52694045,2016-06-29
43.2971,5.57582,52733652,2016-07-01
43.95986,4.84454,52749470,2016-07-02
43.60399,2.05842,52863602,2016-07-08
43.60398,2.05844,52881358,2016-07-09
