Latitude,Longitude,ID,Date
46.32195,3.22917,87856057,1999-07-03
45.69642,0.17916,13032706,1999-07-09
46.31259,3.28727,13570942,2001-07-14
45.75318,3.17647,14243149,2003-06-04
45.79461,3.10132,92197865,2003-06-04
47.10718,3.09415,14772230,2004-07-25
45.82102,-0.56896,14784701,2004-08-07
43.79374,3.91176,135611952,2006-06-04
45.84091,-0.74969,16849626,2008-06-18
45.75253,3.15881,16856749,2008-06-21
45.75601,-0.65869,17928456,2009-06-06
45.80482,-0.84772,17954616,2009-06-11
45.81995,-0.72385,17960842,2009-06-12
44.49937,3.56518,128289788,2009-06-16
47.10718,3.09415,18020467,2009-06-24
43.2884,1.90248,138356975,2009-07-05
44.28343,3.22395,129290395,2009-07-10
47.16457,-0.30501,18121449,2009-07-21
47.21841,0.05365,18121450,2009-07-21
45.61837,-0.04691,19988773,2010-06-09
45.74557,-0.63548,20099936,2010-06-23
45.68211,-1.00516,20119246,2010-06-25
45.9534,-0.87742,20128511,2010-06-26
45.95068,-0.86913,20128512,2010-06-26
45.84037,-0.8108,20128513,2010-06-26
47.0516,4.75477,20194093,2010-07-06
47.04143,4.84209,20194094,2010-07-06
46.99239,4.75179,20234532,2010-07-13
47.33763,4.99658,20268000,2010-07-19
47.32596,5.0183,20272803,2010-07-20
47.08934,4.87612,20278045,2010-07-21
44.47577,1.62007,22949366,2011-05-18
44.45652,1.61944,22949367,2011-05-18
44.53117,1.69047,23033804,2011-05-23
44.53878,1.70574,23065115,2011-05-25
44.54331,1.71082,23065116,2011-05-25
47.95898,7.24592,23205553,2011-06-04
47.95951,7.24466,23205554,2011-06-04
47.95975,7.24193,23205555,2011-06-04
47.95975,7.24193,23299282,2011-06-11
45.3652,-0.56924,23319249,2011-06-12
45.81953,-0.72405,23361148,2011-06-15
45.84091,-0.74969,23394159,2011-06-18
44.56124,1.55819,23449125,2011-06-23
45.68782,-0.27253,23468997,2011-06-25
46.02293,-0.35455,23475922,2011-06-25
46.179,-0.81943,23475926,2011-06-25
44.38884,1.26154,23548823,2011-07-02
44.18368,3.22389,23562384,2011-07-03
47.95975,7.24193,23582254,2011-07-05
47.95975,7.24193,23591540,2011-07-06
47.96,7.24236,23618033,2011-07-09
47.95975,7.24193,23627955,2011-07-10
44.35315,1.66156,23638191,2011-07-11
46.24892,-1.50893,81425427,2011-07-11
46.01255,-0.52949,63894358,2012-06-15
47.14017,-0.15326,28286748,2012-06-29
43.60053,0.58889,82831593,2012-07-17
45.61027,0.13469,28500578,2012-07-18
44.48796,1.64871,28526895,2012-07-20
44.52544,2.71811,28617982,2012-07-29
43.56354,3.9021,72240638,2013-06-11
44.13986,6.34226,110787026,2013-06-19
44.13986,6.34226,120897091,2013-06-19
44.47167,3.17728,143114927,2013-06-27
45.56875,-0.28365,33527997,2013-06-30
44.47167,3.17728,143114922,2013-06-30
45.88426,3.05195,33564330,2013-07-02
44.52116,2.76231,33692778,2013-07-12
46.179,-0.81943,33705257,2013-07-13
45.6262,0.14645,33723977,2013-07-15
45.65195,3.16814,33726401,2013-07-15
45.89307,3.05097,33726402,2013-07-15
