"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"1291061916","43.758201","4.736996","2013-08-07","122"
"1291073870","43.275776","2.708092","2009-07-03","52.43"
"1453048445","43.222783","5.539096","2012-07-20","87.64"
"1572363629","43.742063","3.709372","2017-07-04","244.64"
"1572367316","43.693519","3.565971","2017-07-02","47.51"
"1572367405","43.693571","3.566016","2017-07-02","47.51"
"1640042276","43.814278","3.735723","2017-07-17","223.93"
"1986536795","43.182641","5.709571","2018-07-19","21.97"
"1990532510","41.472675","9.269465","2013-06-19","-38509.06"
"2005286048","43.136051","5.736033","2017-07-27","10.6"
"2005286087","43.136489","5.736204","2015-07-08","10.6"
"2242904151","43.62815","3.842046","2009-07-07","56.55"
"2242913455","43.478453","4.165492","2017-06-21","0.68"
"2283134519","43.818158","6.097606","2019-07-03","532.47"
"2283136497","43.818139","6.097663","2019-07-03","532.47"
"2311359542","43.776725","4.83271","2019-07-19","105.57"
"2311359915","43.776847","4.832105","2019-07-19","105.57"
"2331937414","43.644472","3.880466","2019-07-29","61.61"
"2366025427","43.945887","4.859569","2019-07-14","22.88"
"2366031290","43.352783","2.804174","2019-07-20","205.82"
"2397499871","43.631049","5.150567","2019-08-06","82.56"
"2447836173","42.222008","9.538017","2019-08-14","13.32"
"2447836333","44.909397","0.641958","2019-07-20","113.56"
"2447836726","43.339797","3.428207","2019-08-19","4.1"
"2447844294","43.9167","4.888232","2019-08-01","31.37"
"2451591276","44.309909","3.330125","2010-08-05","530.26"
"2456502452","44.444202","4.844485","2019-08-03","259.49"
"2465318822","41.473005","9.262066","2015-06-13","28.39"
"2469182171","43.17434","5.61025","2017-06-02","4.87"
"2469182672","48.81394","2.36214","2015-07-02","60.37"
"2469183344","48.81473","2.3607","2015-07-02","62.84"
"2469187508","48.81528","2.35849","2015-07-02","57.61"
"2469239146","43.79408","7.36068","2013-08-02","214.22"
"2469243045","43.53822","6.91813","2013-08-02","27.62"
"2469664864","44.38378","5.71226","2015-07-18","798.42"
"2469674590","43.22722","5.76578","2012-06-26","171.35"
"2470072529","43.56168","6.229","1968-07-14","262.97"
"2470081465","43.43781","5.70019","1968-07-07","326.33"
"2470399160","44.12304","4.71818","2015-06-11","32.99"
"2470399390","43.53296","5.00978","2014-04-08","41.87"
"2470400527","44.21303","4.7209","2010-07-01","36.29"
"2470401067","43.89905","4.64919","2010-06-16","14.94"
"2470401117","43.89905","4.64919","2010-07-06","14.94"
"2470410995","43.89809","4.71141","2010-07-06","14.35"
"2470464888","44.41726","6.615","2012-07-22","1590.01"
"2471498763","44.58935","6.0558","2004-08-03","1321.65"
"2471500902","44.71889","6.2524","2003-07-14","1409.25"
"2471510465","44.79911","6.57346","2017-07-13","1354.13"
"2471627931","44.53329","6.43066","2004-08-05","778.81"
"2471633296","44.58935","6.0558","2004-08-06","1321.65"
"2471645194","44.8461","6.51311","2017-07-13","1637.88"
"2471667697","44.57825","6.43339","1998-08-11","2046.33"
"2471670217","44.72429","6.06313","2017-08-02","1096.3"
"2471775609","44.54437","6.05337","2009-07-18","798.42"
"2471785185","44.67575","6.18676","2003-07-28","1375.08"
"2471881461","44.63077","6.18422","2013-08-15","1333.58"
"2471889381","44.57628","6.49631","1996-08-19","1025.63"
"2471892285","44.58935","6.0558","2009-07-21","1321.65"
"2471899340","44.71889","6.2524","2013-08-16","1409.25"
"2472088358","44.28806","4.75252","2011-06-27","59.63"
"2472089268","44.28806","4.75252","2013-08-01","59.63"
"2472089270","44.28806","4.75252","2014-08-07","59.63"
"2472089355","44.28806","4.75252","2011-07-03","59.63"
"2472091279","44.15985","4.88405","2016-07-20","72.2"
"2472556190","43.73597","3.5427","2009-08-16","233.46"
"2472890615","43.7942","4.6862","2012-08-02","6.86"
"2472891198","43.7942","4.6862","2012-06-28","6.86"
"2472891361","43.12681","6.01939","2013-08-21","24.27"
"2472891605","43.7942","4.6862","2012-06-28","6.86"
"2472891755","43.7942","4.6862","2012-08-02","6.86"
