Latitude,Longitude,ID,Date
45.2096,4.79332,4541794793,2023-06-16
45.2096,4.79332,4541783006,2023-06-16
45.2096,4.79332,4541733703,2023-06-16
45.2096,4.79332,4541689665,2023-06-16
45.2096,4.79332,4541718461,2023-06-16
45.2096,4.79332,4541786319,2023-06-16
45.2096,4.79332,4541845912,2023-06-16
45.20973,4.79358,4541733889,2023-06-15
45.20973,4.79358,4541767477,2023-06-15
45.20973,4.79358,4541767516,2023-06-15
45.20973,4.79358,4541818515,2023-06-15
45.21036,4.79211,4541689351,2023-06-15
45.21036,4.79211,4541794471,2023-06-15
45.410101,4.240374,4153533640,2023-06-29
44.1069,3.87797,4543189888,2023-07-09
44.041191,3.611693,4413445863,2023-07-16
44.036735,3.712368,3330723117,2021-07-17T11:25
44.015803,7.590896,4438978894,9/2/2021 10:13:24 AM
44.11414,6.84308,4085624029,2020-07-23/2020-07-25
44.11631,6.78069,4085472756,2020-07-23/2020-07-25
44.66007,6.69091,4085489614,2020-07-16/2020-07-18
44.11631,6.78069,4085615733,2020-07-23/2020-07-25
44.06919,6.84004,4085684790,2020-07-23/2020-07-25
44.66215,6.62791,4085530141,2020-07-15/2020-07-17
44.11414,6.84308,4085494230,2020-07-23/2020-07-25
44.70291,6.75691,4085563379,2020-07-17/2020-07-19
44.12051,3.19157,4542087039,2020-07-31
44.10906,3.13397,4542086504,2020-07-31
44.66007,6.69091,4085640980,2020-07-16/2020-07-18
44.67885,6.6427,3489945679,2020-07-16
44.67566,6.691,3489943342,2020-07-17
44.67844,6.69474,3489947279,2020-07-17
44.66917,6.67867,3489929422,2020-07-17
44.67659,6.69621,3489948204,2020-07-18
44.67527,6.70738,3489927549,2020-07-18
44.71687,6.74583,3489951356,2020-07-18
44.67493,6.7039,3489938293,2020-07-18
44.13256,6.77222,3489935373,2020-07-24
44.12673,6.78223,3489937528,2020-07-24
44.11542,6.80879,3489941950,2020-07-24
44.10806,6.83853,3489932178,2020-07-24
44.1037,6.84947,3489947411,2020-07-24
44.09013,6.85346,3489932132,2020-07-24
44.09216,6.86492,3489932295,2020-07-24
44.66007,6.69091,4085683440,2020-07-17/2020-07-19
44.11631,6.78069,4085651118,2020-07-23/2020-07-25
44.66007,6.69091,4085579962,2020-07-17/2020-07-19
44.11971,3.23357,4542086716,2020-07-31
44.1083,3.15617,3944408326,2020-07-31
44.11414,6.84308,4085613401,2020-07-23/2020-07-25
44.66007,6.69091,4085476144,2020-07-16/2020-07-18
44.66007,6.69091,4085483371,2020-07-17/2020-07-19
44.48832,6.42792,4081959106,2019-07-03
44.44528,6.36243,4083817790,2018-06-25
44.52672,6.39454,2583399902,2018-07-20
44.53522,6.36778,4082300628,2018-07-20
44.17356,6.40893,4085447170,2018-08-04/2018-08-06
44.17356,6.40893,4085609288,2018-08-04/2018-08-06
44.16662,6.40363,3489946933,2018-08-05
44.16813,6.40797,3489944600,2018-08-05
44.17203,6.41222,3489932774,2018-08-05
44.18342,6.4212,3489944155,2018-08-05
44.17356,6.40893,4085536364,2018-08-04/2018-08-06
44.17356,6.40893,4085599070,2018-08-04/2018-08-06
44.8461,6.51311,2471574384,2017-06-16
44.82156,6.53715,2583736459,2017-06-16
44.18379,3.21099,3495880895,2017-07-15
44.23093,1.97943,4571285250,2017-07-09
44.82156,6.53715,2582950770,2016-07-01
44.84408,6.57633,2471857373,2016-07-01
44.44528,6.36243,4082903561,2014-08-27
44.44528,6.36243,2495983555,2014-08-27
44.75414,6.57061,4081955393,2013-06-27
44.75414,6.57061,2471586292,2013-06-27
44.75414,6.57061,4082165095,2013-06-27
44.73631,6.46017,2583788506,2013-06-27
44.53763,6.14174,3491923709,2013-07-30
44.54261,6.11626,4085690234,2013-07-29/2013-07-31
44.54261,6.11626,4085486502,2013-08-02/2013-08-04
44.53763,6.14174,3491922507,2013-08-03
44.75414,6.57061,2471702710,2011-07-20
44.73631,6.46017,2582295509,2011-07-20
43.447348,6.109005,3903890836,2011-08-06
43.63112,3.73423,4588392777,2010-06-30
44.82156,6.53715,2582869711,2010-07-06
44.49215,6.30228,4085576010,2010-07-10/2010-07-12
44.84408,6.57633,4082407050,2010-07-06
44.82156,6.53715,2582020100,2010-07-06
44.61924,6.56206,4083675268,2010-07-13
44.84408,6.57633,2471603790,2010-07-06
44.53329,6.43066,2471845867,2010-07-15
44.56093,6.02274,3489945671,2010-07-05
44.50798,6.31243,3489933785,2010-07-11
44.61924,6.56206,2498915721,2010-07-13
44.52672,6.39454,2582714976,2010-07-15
44.76574,6.61634,2582997092,2009-06-27
44.08535,3.63779,4588436505,2009-06-27
44.109,3.65144,4588560918,2009-06-28
44.10093,3.63431,4588594051,2009-06-28
44.10463,3.64316,4588648721,2009-06-28
44.75414,6.57061,2471687813,2009-06-27
42.47816,3.02395,2492696530,2009-01-01/2009-12-31
44.49025,6.3651,2495739665,2008-07-22
44.49025,6.3651,4082828982,2008-07-22
42.51142,2.92944,4588648429,2008-08-01
42.47816,3.02395,2492646848,2006-06-16
