"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"168815178","44.2112990998","3.3351958171","2023-06-18","915.61"
"189247102","43.8997224236","6.627917178","2023-07-10","1745.45"
"230063489","44.6087576955","3.0416977807","2024-07-05","1299.83"
"235484509","42.7680939943","1.4837296307","2024-08-09","771.14"
"288749859","45.8352216166","4.8101643473","2025-06-11","393.98"
"289795144","44.1048411174","6.7695934632","2025-06-05","1422.23"
"290622359","43.8640325704","6.8069284782","2025-06-14","722.31"
"292389791","44.2122797818","6.8492787839","2025-06-19","1926.99"
"292710238","44.0414233333","5.812495","2025-06-25","612.64"
"46609635","43.98103397","3.08549066","2020-05-20","794.82"
