"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"121758480","43.7148017881","3.9448592661","2022-06-13","125.13"
"123207328","43.2033857232","2.4189506118","2022-06-24","123.51"
"150763958","43.5756718669","3.649243652","2022-07-09","310.24"
"163547947","43.7186117638","4.9541711435","2021-07-05","185"
"171917296","43.5279747074","5.6430213893","2023-07-08","405.23"
"172562865","43.6321961677","3.8631755143","2023-07-12","50.4"
"172562868","43.6318354423","3.8622444743","2023-07-12","47.33"
"172973315","43.5827255249","6.7743000984","2023-07-15","155.11"
"173859607","43.5712312209","6.7394712567","2023-07-20","253.33"
"200968428","43.651025621","3.8426341879","2023-07-03","95.11"
"223818747","43.1432018038","3.1210083514","2024-06-19","54.91"
"227101637","43.6321491625","3.8629107177","2024-07-04","49.65"
"227330623","42.7710016931","2.8122451901","2024-07-05","99.8"
"38672815","42.8510669899","2.8808627606","2011-05-20","188.84"
"56011102","43.17044167","3.18435333","2020-07-12","-0.4"
"66766726","42.8509955583","2.8807979971","2011-05-20","187.92"
"86521592","43.1106237229","2.9073195253","2021-07-11","198.92"
