CODE,NOM_SCIENTIFIQUE,FAUNE_FRANCE,INPN,INATURALIST,OBSERVATION,GBIF,CATALOGUE_OF_LIFE,FAUNA_EUROPEA
Cicadetta_brevipennis,Cicadetta brevipennis,24465,838817,739580,157060,7614613,V6XG, 
Cicadetta_brevipennis_litoralis,Cicadetta brevipennis litoralis,,838818,,,10243165,8K2PT, 
Cicadetta_cantilatrix,Cicadetta cantilatrix,24467,436724,914357,157064,7903126,V6XW, 
Cicadetta_cerdaniensis,Cicadetta cerdaniensis,24466,443327,1257563,157063,7491426,V6Y7, 
Cicadetta_fangoana,Cicadetta fangoana,24470,241096,1038804,157061,4482637,V6ZG,239533
Cicadetta_montana,Cicadetta montana,24474,51911,362341,157059,9497766,V74Y,239538
Cicadetta_petryi,Cicadetta petryi,47901,241097,1257169,625104,4482650,V763,239540
Cicadetta_sibillae,Cicadetta sibillae,47928,892654,1336954,1033881,8466776,5Z4R6, 
Dimissalna_dimissa,Dimissalna dimissa,24501,701431,552057,157082,7496589,3677T, 
Oligoglena_tibialis,Oligoglena tibialis,24478,241095,1169252,625106,9362333,4966R, 
Tettigettalna_argentata,Tettigettalna argentata,24502,701438,894951,822679,9182984,55V6C, 
Tettigettula_pygmea,Tettigettula pygmea,24507,701435,914822,822680,8057880,55V6R, 
Cicada_barbara,Cicada barbara,,,362756,197570,10972541,V5G4,239481
Cicada_barbara_lusitanica,Cicada barbara lusitanica,24452,,362755,157031,4482720,8K2PQ,239482
Cicada_orni,Cicada orni,24449,51913,243961,157028,11104870,V629,239484
Cicadatra_atra,Cicadatra atra,24454,241091,82825,157032,8638651,V6G4,239462
Graptopsaltria_nigrofuscata,Graptopsaltria nigrofuscata,24487,701762,325363,552813,8357478,3HB9S, 
Lyristes_plebejus,Lyristes plebejus,24446,51569,361905,157026,7485500,8PDBW,239446
Platypleura_kaempferi,Platypleura kaempferi,,,359500,555779,5867595,4JVWV, 
Tibicina_corsica,Tibicina corsica,,241100,524848,198448,5757995,56V28,239555
Tibicina_corsica_corsica,Tibicina corsica corsica,24520,701757,524850,157089,8778242,8JJV5, 
Tibicina_corsica_fairmairei,Tibicina corsica fairmairei,24521,701756,524849,157090,8974508,5F86K, 
Tibicina_garricola,Tibicina garricola,24524,51915,1037811,157093,5757990,56V2H,239558
Tibicina_haematodes,Tibicina haematodes,24519,51916,496256,157088,5757996,56V2M,239559
Tibicina_nigronervosa,Tibicina nigronervosa,24522,241102,1425879,157091,5757991,56V36,239564
Tibicina_quadrisignata,Tibicina quadrisignata,24523,241104,1189320,157092,5757988,56V3K,239566
Tibicina_steveni,Tibicina steveni,24525,701605,1121926,157094,7610304,56V3Y, 
Tibicina_tomentosa,Tibicina tomentosa,24526,241105,524853,157095,5757997,56V3C,239568
